mg_code,macro_goal,direction,current_cagr,recommended_cagr_2030,recommended_cagr_2047,target_2030,target_2047,target_2030_achievement,target_2047_achievement
GVM3,National E-service delivery ranking (within group A),DOWN,0.118034,-0.074125,-0.084753,5,1,Negative Trend,Negative Trend
HM1,Life expectancy (years),UP,0.001,0.015047,0.007709,77,84,Critically Lagging,Critically Lagging
HM2,Maternal Mortality Ratio (per lakh live births),DOWN,-0.093654,-0.034111,-0.092232,40,5,2025-26,2046-47
HM3,Infant Mortality Rate (per 1000 live births),DOWN,-0.057085,-0.141626,-0.095264,8,2,2039-40,Critically Lagging
HM4,Out-of-Pocket Expenditure (as % of Total Health Expenditure),DOWN,-0.057809,-0.100496,-0.057327,15,8,2036-37,2046-47
HM5,Doctors per 10000 population,UP,0.041704,0.020653,0.035458,15,30,2026-27,2043-44
HM6,Nurses and midwives per 10000,UP,0.132897,0.133873,0.077694,40,100,2030-31,2037-38
HM7,No. of Ayush Professionals,UP,0.040515,0.085877,0.063251,100000,250000,2036-37,Critically Lagging
INM2,"Growth in value of goods exported ($, nominal)",UP,0.041829,0.338684,0.171024,500,3750,Critically Lagging,Critically Lagging
NSM2,% women age 15-49 years who are anaemic,DOWN,-0.032779,-0.024214,-0.086487,45,5,2027-28,Critically Lagging
NSM3,"Number of crimes against women per 1,00,000 population",DOWN,-0.015494,-0.787226,-0.296516,0,0,Critically Lagging,Critically Lagging
NSM4,% of seats held by women in state legislation,UP,-0.01208,0.157814,0.077833,16,40,Negative Trend,Negative Trend
NSM5,% Female Labor Force Participation Rate (LFPR),UP,0.149875,0.013994,0.021482,50,75,2024-25,2027-28
NSM6,% Women with an operating bank or savings account,UP,0.073941,0.028317,0.013813,90,100,2024-25,2025-26
NSM7,% Gross enrolment ratio (elementary),UP,-0.01366,0.034135,0.007658,100,100,Negative Trend,Negative Trend
NSM8,% Gross enrolment ratio (secondary),UP,0.003909,0.026034,0.013316,85,100,Critically Lagging,Critically Lagging
NSM9,Gap between male and female literacy levels,DOWN,-0.034656,-0.089848,-0.243176,6,0,Critically Lagging,Critically Lagging
SEM1,Contribution to India's Services GVA (%),UP,0,0.094218,0.050259,8,15,Critically Lagging,Critically Lagging
SEM2,Contribution to India’s Services exports (%),UP,0.052864,0.103042,0.081955,3,10,2036-37,Critically Lagging
TLIM1,Total state highway length (km),UP,-0.013433,0.036696,0.025222,19537,27910,Negative Trend,Negative Trend
TLIM10,Road accident fatalities per 100 km road length,DOWN,-0.027605,-0.456085,-0.280319,0.5,0,Critically Lagging,Critically Lagging
TLIM4,Share of Cargo handling in India,UP,-0.00792,0.009919,0.004707,40,42,Negative Trend,Negative Trend
TLIM5,Ports with >18m draft,UP,0,0.148698,0.065041,2,4,Critically Lagging,Critically Lagging
TLIM7,Container dwell time - exports (hours),DOWN,0.02277,-0.071619,-0.041443,70,40,Negative Trend,Negative Trend
TLIM9,Average Vessel Turnaround time (hours),DOWN,-0.004328,-0.106643,-0.038364,50,40,Critically Lagging,Critically Lagging
