pillar,themes,macro_goal,mg_code,fy_numeric,fy_label,value,status
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Cereal crops (MT/ha),AIRM1,2016,2015-16,2.22,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Cereal crops (MT/ha),AIRM1,2017,2016-17,2.33,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Cereal crops (MT/ha),AIRM1,2018,2017-18,2.41,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Cereal crops (MT/ha),AIRM1,2019,2018-19,2.42,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Cereal crops (MT/ha),AIRM1,2020,2019-20,2.61,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Cereal crops (MT/ha),AIRM1,2021,2020-21,2.61,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Cereal crops (MT/ha),AIRM1,2022,2021-22,2.66,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Cereal crops (MT/ha),AIRM1,2023,2022-23,2.73,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Cereal crops (MT/ha),AIRM1,2024,2023-24,2.73,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Cereal crops (MT/ha),AIRM1,2025,2024-25,2.74,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Pulses crops (MT/ha),AIRM2,2014,2013-14,0.89,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Pulses crops (MT/ha),AIRM2,2015,2014-15,0.88,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Pulses crops (MT/ha),AIRM2,2016,2015-16,0.88,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Pulses crops (MT/ha),AIRM2,2017,2016-17,0.87,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Pulses crops (MT/ha),AIRM2,2018,2017-18,1.03,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Pulses crops (MT/ha),AIRM2,2019,2018-19,1.02,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Pulses crops (MT/ha),AIRM2,2020,2019-20,1.17,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Pulses crops (MT/ha),AIRM2,2021,2020-21,1.4,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Pulses crops (MT/ha),AIRM2,2022,2021-22,1.53,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Pulses crops (MT/ha),AIRM2,2023,2022-23,1.38,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Pulses crops (MT/ha),AIRM2,2024,2023-24,1.42,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Pulses crops (MT/ha),AIRM2,2025,2024-25,1.5,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Foodgrains (MT/ha),AIRM3,2014,2013-14,2.2,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Foodgrains (MT/ha),AIRM3,2015,2014-15,2.1,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Foodgrains (MT/ha),AIRM3,2016,2015-16,2,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Foodgrains (MT/ha),AIRM3,2017,2016-17,2,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Foodgrains (MT/ha),AIRM3,2018,2017-18,2.1,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Foodgrains (MT/ha),AIRM3,2019,2018-19,2.1,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Foodgrains (MT/ha),AIRM3,2020,2019-20,2.3,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Foodgrains (MT/ha),AIRM3,2021,2020-21,2.3,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Foodgrains (MT/ha),AIRM3,2022,2021-22,2.3,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Foodgrains (MT/ha),AIRM3,2023,2022-23,2.3,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Foodgrains (MT/ha),AIRM3,2024,2023-24,2.4,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Foodgrains (MT/ha),AIRM3,2025,2024-25,2.4,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2014,2013-14,21.2,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2015,2014-15,21.2,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2016,2015-16,20.5,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2017,2016-17,20.7,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2018,2017-18,20.4,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2019,2018-19,20.3,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2020,2019-20,20.1,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2021,2020-21,18.5,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2022,2021-22,18.2,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2023,2022-23,17.9,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2024,2023-24,18.1,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2025,2024-25,18.7,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2014,2013-14,11.58,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2015,2014-15,12.04,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2016,2015-16,12.68,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2017,2016-17,13.16,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2018,2017-18,13.23,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2019,2018-19,12.54,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2020,2019-20,13.23,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2021,2020-21,15.41,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2022,2021-22,16.73,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2023,2022-23,16.71,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2024,2023-24,20.26,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2025,2024-25,21.14,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2014,2013-14,9.41,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2015,2014-15,9.45,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2016,2015-16,9.45,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2017,2016-17,9.49,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2018,2017-18,9.48,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2019,2018-19,9.56,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2020,2019-20,9.62,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2021,2020-21,9.47,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2022,2021-22,9.47,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2023,2022-23,10.9,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2024,2023-24,9.21,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2025,2024-25,9.26,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Average cattle productivity (kg/animal/year),AIRM19,2014,2013-14,1878,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Average cattle productivity (kg/animal/year),AIRM19,2015,2014-15,1923,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Average cattle productivity (kg/animal/year),AIRM19,2016,2015-16,1909,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Average cattle productivity (kg/animal/year),AIRM19,2017,2016-17,1926,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Average cattle productivity (kg/animal/year),AIRM19,2018,2017-18,1978,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Average cattle productivity (kg/animal/year),AIRM19,2019,2018-19,2039,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Average cattle productivity (kg/animal/year),AIRM19,2020,2019-20,2097,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Average cattle productivity (kg/animal/year),AIRM19,2021,2020-21,2180,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Average cattle productivity (kg/animal/year),AIRM19,2022,2021-22,2204,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Average cattle productivity (kg/animal/year),AIRM19,2023,2022-23,2248,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Average cattle productivity (kg/animal/year),AIRM19,2024,2023-24,2303,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Average cattle productivity (kg/animal/year),AIRM19,2025,2024-25,2366,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of milk processing capacity over total milk production,AIRM20,2014,2013-14,47.53,Actual
