pillar,themes,macro_goal,mg_code,fy_numeric,fy_label,value,status
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Percentage surfaced rural roads,AIRM36,2020,2019-20,87.91,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Percentage surfaced rural roads,AIRM36,2021,2020-21,88.3107,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Percentage surfaced rural roads,AIRM36,2022,2021-22,88.7132,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Percentage surfaced rural roads,AIRM36,2023,2022-23,89.1176,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Percentage surfaced rural roads,AIRM36,2024,2023-24,89.5238,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Percentage surfaced rural roads,AIRM36,2025,2024-25,89.9318,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Percentage surfaced rural roads,AIRM36,2026,2025-26,90.3417,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Percentage surfaced rural roads,AIRM36,2027,2026-27,90.7535,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Percentage surfaced rural roads,AIRM36,2028,2027-28,91.1672,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Percentage surfaced rural roads,AIRM36,2029,2028-29,91.5827,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Percentage surfaced rural roads,AIRM36,2030,2029-30,92.0001,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Internet Subscribers per 100 population (for Rural),AIRM38,2025,2024-25,52.09,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Internet Subscribers per 100 population (for Rural),AIRM38,2026,2025-26,58.1101,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Internet Subscribers per 100 population (for Rural),AIRM38,2027,2026-27,64.8261,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Internet Subscribers per 100 population (for Rural),AIRM38,2028,2027-28,72.3181,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Internet Subscribers per 100 population (for Rural),AIRM38,2029,2028-29,80.6761,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Internet Subscribers per 100 population (for Rural),AIRM38,2030,2029-30,90,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Rural Drinking water supply per capita (LPCD),AIRM39,2025,2024-25,76.9,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Rural Drinking water supply per capita (LPCD),AIRM39,2026,2025-26,81.0478,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Rural Drinking water supply per capita (LPCD),AIRM39,2027,2026-27,85.4192,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Rural Drinking water supply per capita (LPCD),AIRM39,2028,2027-28,90.0265,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Rural Drinking water supply per capita (LPCD),AIRM39,2029,2028-29,94.8822,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Rural Drinking water supply per capita (LPCD),AIRM39,2030,2029-30,99.9999,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2025,2024-25,2.239,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2026,2025-26,2.2703,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2027,2026-27,2.3021,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2028,2027-28,2.3343,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2029,2028-29,2.3669,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2030,2029-30,2.4,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of villages covered by surface based Multi Village Scheme (MVS),AIRM40,2025,2024-25,77.09,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of villages covered by surface based Multi Village Scheme (MVS),AIRM40,2026,2025-26,81.2079,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of villages covered by surface based Multi Village Scheme (MVS),AIRM40,2027,2026-27,85.5458,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of villages covered by surface based Multi Village Scheme (MVS),AIRM40,2028,2027-28,90.1154,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of villages covered by surface based Multi Village Scheme (MVS),AIRM40,2029,2028-29,94.9291,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of villages covered by surface based Multi Village Scheme (MVS),AIRM40,2030,2029-30,99.9999,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2025,2024-25,18.7,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2026,2025-26,18.953,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2027,2026-27,19.2095,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2028,2027-28,19.4695,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2029,2028-29,19.7329,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Fruits (MT/ha),AIRM5,2030,2029-30,20,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2025,2024-25,21.14,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2026,2025-26,21.4432,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2027,2026-27,21.7507,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2028,2027-28,22.0626,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2029,2028-29,22.379,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Vegetables (MT/ha),AIRM6,2030,2029-30,22.6999,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2025,2024-25,1.6,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2026,2025-26,1.6559,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2027,2026-27,1.7139,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2028,2027-28,1.7738,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2029,2028-29,1.8358,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2030,2029-30,1.9,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2025,2024-25,9.26,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2026,2025-26,9.4592,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2027,2026-27,9.6628,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2028,2027-28,9.8707,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2029,2028-29,10.083,Recommended_2030
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Floriculture (MT/ha),AIRM8,2030,2029-30,10.3,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of households having access to piped drinking water - all cities,CAM1,2025,2024-25,86.23,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of households having access to piped drinking water - all cities,CAM1,2026,2025-26,88.8233,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of households having access to piped drinking water - all cities,CAM1,2027,2026-27,91.4946,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of households having access to piped drinking water - all cities,CAM1,2028,2027-28,94.2462,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of households having access to piped drinking water - all cities,CAM1,2029,2028-29,97.0805,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of households having access to piped drinking water - all cities,CAM1,2030,2029-30,100.0001,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Per capita water supply (municipal corporations),CAM2,2025,2024-25,167.72,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Per capita water supply (municipal corporations),CAM2,2026,2025-26,164.0159,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Per capita water supply (municipal corporations),CAM2,2027,2026-27,160.3936,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Per capita water supply (municipal corporations),CAM2,2028,2027-28,156.8513,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Per capita water supply (municipal corporations),CAM2,2029,2028-29,153.3873,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Per capita water supply (municipal corporations),CAM2,2030,2029-30,149.9997,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of population living in slums - all cities,CAM3,2025,2024-25,5.85,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of population living in slums - all cities,CAM3,2026,2025-26,1.6358,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of population living in slums - all cities,CAM3,2027,2026-27,0.4574,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of population living in slums - all cities,CAM3,2028,2027-28,0.1279,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of population living in slums - all cities,CAM3,2029,2028-29,0.0358,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of population living in slums - all cities,CAM3,2030,2029-30,0.01,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Average AQI across all major cities,CAM4,2025,2024-25,98,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Average AQI across all major cities,CAM4,2026,2025-26,94.102,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Average AQI across all major cities,CAM4,2027,2026-27,90.359,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Average AQI across all major cities,CAM4,2028,2027-28,86.7648,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Average AQI across all major cities,CAM4,2029,2028-29,83.3137,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Average AQI across all major cities,CAM4,2030,2029-30,79.9998,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of wastewater recycled or reused - all cities,CAM5,2025,2024-25,26.99,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of wastewater recycled or reused - all cities,CAM5,2026,2025-26,30.0271,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of wastewater recycled or reused - all cities,CAM5,2027,2026-27,33.406,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of wastewater recycled or reused - all cities,CAM5,2028,2027-28,37.1651,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of wastewater recycled or reused - all cities,CAM5,2029,2028-29,41.3473,Recommended_2030
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,Percentage of wastewater recycled or reused - all cities,CAM5,2030,2029-30,46,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,GER (secondary) - Male In %,ESM1,2025,2024-25,76,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,GER (secondary) - Male In %,ESM1,2026,2025-26,77.7203,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,GER (secondary) - Male In %,ESM1,2027,2026-27,79.4796,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,GER (secondary) - Male In %,ESM1,2028,2027-28,81.2787,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,GER (secondary) - Male In %,ESM1,2029,2028-29,83.1185,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,GER (secondary) - Male In %,ESM1,2030,2029-30,85,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Average number of enrollments per institution,ESM10,2022,2021-22,537,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Average number of enrollments per institution,ESM10,2023,2022-23,561.6988,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Average number of enrollments per institution,ESM10,2024,2023-24,587.5336,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Average number of enrollments per institution,ESM10,2025,2024-25,614.5566,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Average number of enrollments per institution,ESM10,2026,2025-26,642.8225,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Average number of enrollments per institution,ESM10,2027,2026-27,672.3885,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Average number of enrollments per institution,ESM10,2028,2027-28,703.3143,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Average number of enrollments per institution,ESM10,2029,2028-29,735.6625,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Average number of enrollments per institution,ESM10,2030,2029-30,769.4986,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,% of patents filed in India,ESM11,2025,2024-25,4.02,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,% of patents filed in India,ESM11,2026,2025-26,3.6409,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,% of patents filed in India,ESM11,2027,2026-27,3.2976,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,% of patents filed in India,ESM11,2028,2027-28,2.9867,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,% of patents filed in India,ESM11,2029,2028-29,2.7051,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,% of patents filed in India,ESM11,2030,2029-30,2.45,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,GER (secondary) - Female In %,ESM2,2025,2024-25,73.3,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,GER (secondary) - Female In %,ESM2,2026,2025-26,75.5035,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,GER (secondary) - Female In %,ESM2,2027,2026-27,77.7732,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,GER (secondary) - Female In %,ESM2,2028,2027-28,80.1111,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,GER (secondary) - Female In %,ESM2,2029,2028-29,82.5193,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,GER (secondary) - Female In %,ESM2,2030,2029-30,85,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Literacy rate In %,ESM3,2025,2024-25,78.03,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Literacy rate In %,ESM3,2026,2025-26,80.2894,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Literacy rate In %,ESM3,2027,2026-27,82.6141,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Literacy rate In %,ESM3,2028,2027-28,85.0062,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Literacy rate In %,ESM3,2029,2028-29,87.4676,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Literacy rate In %,ESM3,2030,2029-30,90.0002,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,% schools with pupil teacher ratio< 30,ESM4,2025,2024-25,73.5,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,% schools with pupil teacher ratio< 30,ESM4,2026,2025-26,74.7563,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,% schools with pupil teacher ratio< 30,ESM4,2027,2026-27,76.0341,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,% schools with pupil teacher ratio< 30,ESM4,2028,2027-28,77.3338,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,% schools with pupil teacher ratio< 30,ESM4,2029,2028-29,78.6557,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,% schools with pupil teacher ratio< 30,ESM4,2030,2029-30,80.0001,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Dropout rates – upper primary In %,ESM5,2025,2024-25,5.81,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Dropout rates – upper primary In %,ESM5,2026,2025-26,1.6268,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Dropout rates – upper primary In %,ESM5,2027,2026-27,0.4555,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Dropout rates – upper primary In %,ESM5,2028,2027-28,0.1275,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Dropout rates – upper primary In %,ESM5,2029,2028-29,0.0357,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Dropout rates – upper primary In %,ESM5,2030,2029-30,0.01,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Dropout rates – secondary In %,ESM6,2025,2024-25,16.93,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Dropout rates – secondary In %,ESM6,2026,2025-26,3.8276,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Dropout rates – secondary In %,ESM6,2027,2026-27,0.8654,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Dropout rates – secondary In %,ESM6,2028,2027-28,0.1956,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Dropout rates – secondary In %,ESM6,2029,2028-29,0.0442,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Dropout rates – secondary In %,ESM6,2030,2029-30,0.01,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary),ESM7,2022,2021-22,28.4,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary),ESM7,2023,2022-23,29.6422,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary),ESM7,2024,2023-24,30.9388,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary),ESM7,2025,2024-25,32.2921,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary),ESM7,2026,2025-26,33.7046,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary),ESM7,2027,2026-27,35.1789,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary),ESM7,2028,2027-28,36.7176,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary),ESM7,2029,2028-29,38.3237,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary),ESM7,2030,2029-30,40,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary) - ST,ESM8,2023,2022-23,23.5,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary) - ST,ESM8,2024,2023-24,25.3552,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary) - ST,ESM8,2025,2024-25,27.3568,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary) - ST,ESM8,2026,2025-26,29.5165,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary) - ST,ESM8,2027,2026-27,31.8466,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary) - ST,ESM8,2028,2027-28,34.3607,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary) - ST,ESM8,2029,2028-29,37.0733,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Higher Education - GER (tertiary) - ST,ESM8,2030,2029-30,40,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Gender Parity Index,ESM9,2022,2021-22,0.9,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Gender Parity Index,ESM9,2023,2022-23,0.9119,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Gender Parity Index,ESM9,2024,2023-24,0.924,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Gender Parity Index,ESM9,2025,2024-25,0.9363,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Gender Parity Index,ESM9,2026,2025-26,0.9487,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Gender Parity Index,ESM9,2027,2026-27,0.9613,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Gender Parity Index,ESM9,2028,2027-28,0.974,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Gender Parity Index,ESM9,2029,2028-29,0.9869,Recommended_2030
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Gender Parity Index,ESM9,2030,2029-30,1,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Share of international tourist visits out of total footfall in the state,GTHM1,2024,2023-24,1.55,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Share of international tourist visits out of total footfall in the state,GTHM1,2025,2024-25,1.8841,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Share of international tourist visits out of total footfall in the state,GTHM1,2026,2025-26,2.2902,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Share of international tourist visits out of total footfall in the state,GTHM1,2027,2026-27,2.7839,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Share of international tourist visits out of total footfall in the state,GTHM1,2028,2027-28,3.384,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Share of international tourist visits out of total footfall in the state,GTHM1,2029,2028-29,4.1134,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Share of international tourist visits out of total footfall in the state,GTHM1,2030,2029-30,5,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Ranking in number of domestic tourists in India,GTHM4,2025,2024-25,8,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Ranking in number of domestic tourists in India,GTHM4,2026,2025-26,6.575,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Ranking in number of domestic tourists in India,GTHM4,2027,2026-27,5.4038,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Ranking in number of domestic tourists in India,GTHM4,2028,2027-28,4.4413,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Ranking in number of domestic tourists in India,GTHM4,2029,2028-29,3.6502,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Ranking in number of domestic tourists in India,GTHM4,2030,2029-30,3,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Ranking in number of foreign tourists in India,GTHM5,2025,2024-25,4,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Ranking in number of foreign tourists in India,GTHM5,2026,2025-26,4.8045,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Ranking in number of foreign tourists in India,GTHM5,2027,2026-27,5.7708,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Ranking in number of foreign tourists in India,GTHM5,2028,2027-28,6.9314,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Ranking in number of foreign tourists in India,GTHM5,2029,2028-29,8.3255,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Ranking in number of foreign tourists in India,GTHM5,2030,2029-30,10,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Average annual footfall for Top 5 tourism spots,GTHM7,2025,2024-25,72.91,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Average annual footfall for Top 5 tourism spots,GTHM7,2026,2025-26,51.2403,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Average annual footfall for Top 5 tourism spots,GTHM7,2027,2026-27,36.011,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Average annual footfall for Top 5 tourism spots,GTHM7,2028,2027-28,25.3081,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Average annual footfall for Top 5 tourism spots,GTHM7,2029,2028-29,17.7863,Recommended_2030
Thriving Economy - Earning Well,Gujarat as Tourism Hub,Average annual footfall for Top 5 tourism spots,GTHM7,2030,2029-30,12.5,Recommended_2030
Key Enablers,"Governance 2.0: Reform, Perform and Transform",Good Governance Index Rank (within group A),GVM1,2021,2020-21,1,Recommended_2030
Key Enablers,"Governance 2.0: Reform, Perform and Transform",Good Governance Index Rank (within group A),GVM1,2022,2021-22,1,Recommended_2030
Key Enablers,"Governance 2.0: Reform, Perform and Transform",Good Governance Index Rank (within group A),GVM1,2023,2022-23,1,Recommended_2030
Key Enablers,"Governance 2.0: Reform, Perform and Transform",Good Governance Index Rank (within group A),GVM1,2024,2023-24,1,Recommended_2030
